idx,epoch,out_idx,tensor_index,type_code,type_name,bytes_total,bytes_dumped,dims_size,dim00,dim01,dim02,dim03,dim04,dim05,dim06,dim07,b00_hex,b01_hex,b02_hex,b03_hex,b04_hex,b05_hex,b06_hex,b07_hex,b08_hex,b09_hex,b10_hex,b11_hex,b12_hex,b13_hex,b14_hex,b15_hex,b16_hex,b17_hex,b18_hex,b19_hex,b20_hex,b21_hex,b22_hex,b23_hex,b24_hex,b25_hex,b26_hex,b27_hex,b28_hex,b29_hex,b30_hex,b31_hex
14,1546632000,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x89,0x0D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1546635600,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x88,0xF8,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1546635600,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x9D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1546639200,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x8A,0x10,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1546639200,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x9D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1546642800,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x8A,0x10,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1546642800,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x09,0x2E,0x0B,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1546646400,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x88,0xF8,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1546646400,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x09,0x2E,0x0B,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1546650000,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x8A,0x10,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1546650000,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x09,0x2E,0x0B,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1546653600,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x8A,0x10,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1546653600,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x4A,0xBE,0x0B,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1546657200,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x8A,0x10,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1546657200,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x8A,0x4E,0x0C,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1546660800,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x8A,0x10,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1546660800,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xCA,0xDE,0x0C,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1546664400,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x0B,0x1D,0x11,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1546664400,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xCA,0xDE,0x0C,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
